Profile Key 1,Profile Key 2,IDENT,D1,SIB,D2,D(3)
AF1-NA,BM1-NA,<10000,67136.9,<10000,<10000,<10000
AF2-NA,BF2-NA,<10000,32377.3,<10000,<10000,<10000
AF2-NA,BM2-NA,<10000,20088.4,<10000,<10000,<10000
AF3-NA,BF3-NA,<10000,147739,148127,<10000,<10000
AF4-NA,BF4-NA,<10000,100477,<10000,<10000,<10000
AF4-NA,BM4-NA,<10000,51788.5,<10000,<10000,<10000
AF5-NA,BF5-NA,<10000,415744,<10000,<10000,<10000
AF5-NA,BM5-NA,<10000,442911,10744,<10000,<10000
AF6-NA,BF6-NA,<10000,426616,<10000,<10000,<10000
AF6-NA,BM6-NA,<10000,121089,16612.3,<10000,<10000
AF8-NA,BF8-NA,<10000,475622,<10000,<10000,<10000
AF8-NA,BM8-NA,<10000,109677,<10000,<10000,<10000
AF9-NA,BF9-NA,<10000,26123.8,<10000,<10000,<10000
AF10-NA,BM10-NA,<10000,54519,<10000,<10000,<10000
AF11-NA,BF11-NA,<10000,224542,11277.3,<10000,<10000
AF11-NA,BM11-NA,<10000,1.1482e+06,304579,12901.2,<10000
AF11-NA,CF11-NA,<10000,488081,<10000,<10000,<10000
AF12-NA,BM12-NA,<10000,11931,<10000,<10000,<10000
AF13-NA,BF13-NA,<10000,7.68696e+06,309270,93594.2,<10000
AF13-NA,BM13-NA,<10000,3.82612e+06,<10000,43288.9,<10000
AF14-NA,BF14-NA,<10000,2.50795e+06,225250,21909.9,<10000
AF14-NA,BM14-NA,<10000,54159.2,<10000,<10000,<10000
AF15-NA,BF15-NA,<10000,45737.3,<10000,<10000,<10000
AF15-NA,BM15-NA,<10000,203877,18356.4,<10000,<10000
AF16-NA,BF16-NA,<10000,2.71274e+07,750286,230711,<10000
AF16-NA,BM16-NA,<10000,263420,41184.1,<10000,<10000
AF17-NA,BF17-NA,<10000,2.63079e+07,3.72793e+06,224984,<10000
AF17-NA,BM17-NA,<10000,5.29549e+06,223086,114877,<10000
AF18-NA,BM18-NA,<10000,1.77252e+06,75115.6,10870,<10000
AF19-NA,BF19-NA,<10000,3.85594e+06,24527.5,27473,<10000
AF19-NA,BM19-NA,<10000,710307,21228.1,<10000,<10000
AF20-NA,BF20-NA,<10000,28403.6,<10000,<10000,<10000
AF20-NA,BM20-NA,<10000,19238.2,<10000,<10000,<10000
AF21-NA,BF21-NA,<10000,170258,<10000,<10000,<10000
AF21-NA,BM21-NA,<10000,35778.9,<10000,<10000,<10000
AF22-NA,BF22-NA,<10000,36314.6,<10000,<10000,<10000
AF22-NA,BM22-NA,<10000,65481.7,10383.2,<10000,<10000
AF23-NA,BF23-NA,<10000,898023,36015.3,<10000,<10000
AF23-NA,BM23-NA,<10000,74990.4,<10000,<10000,<10000
AF24-NA,BF24-NA,<10000,945967,861151,<10000,<10000
AF24-NA,BM24-NA,<10000,144349,<10000,<10000,<10000
AF25-NA,BF25-NA,<10000,702821,<10000,<10000,<10000
AF25-NA,BM25-NA,<10000,17443.8,<10000,<10000,<10000
AF26-NA,BM2-NA,<10000,<10000,14780.2,<10000,<10000
AF26-NA,BF26-NA,<10000,11099.8,<10000,<10000,<10000
AF26-NA,BM26-NA,<10000,15122.2,<10000,<10000,<10000
AF26-NA,CF26-NA,<10000,<10000,10184.7,<10000,<10000
AF27-NA,BM27-NA,<10000,11396.1,<10000,<10000,<10000
AF28-NA,BF28-NA,<10000,179890,<10000,<10000,<10000
AF28-NA,BM28-NA,<10000,338311,49142.8,<10000,<10000
AF28-NA,CF28-NA,<10000,66736.5,<10000,<10000,<10000
AF29-NA,BM29-NA,<10000,94929.5,<10000,<10000,<10000
AF30-NA,BF30-NA,<10000,1.57274e+06,12490.6,13401.1,<10000
AF30-NA,BM30-NA,<10000,18581.4,<10000,<10000,<10000
AF31-NA,BF31-NA,<10000,32780.9,<10000,<10000,<10000
AF31-NA,BM31-NA,<10000,28457,<10000,<10000,<10000
AF32-NA,BF32-NA,<10000,2.39984e+06,78660.7,21967.3,<10000
AF32-NA,BM32-NA,<10000,1.5999e+06,<10000,16663.6,<10000
AF33-NA,BF33-NA,<10000,3.29642e+06,70338.1,30716,<10000
AF33-NA,BM33-NA,<10000,2.36763e+06,156266,17494.1,<10000
AF34-NA,BF34-NA,<10000,1.00768e+06,18068.3,10928,<10000
AF34-NA,BM34-NA,<10000,2.15067e+06,1.13028e+06,20903.9,<10000
AF35-NA,BF35-NA,<10000,331701,<10000,<10000,<10000
AF35-NA,BM35-NA,<10000,222107,17715,<10000,<10000
AF36-NA,BF36-NA,<10000,43072.5,<10000,<10000,<10000
AF36-NA,BM36-NA,<10000,219019,<10000,<10000,<10000
AF37-NA,BF37-NA,<10000,456913,553150,<10000,<10000
AF37-NA,BM37-NA,<10000,263118,21855.9,<10000,<10000
AF37-NA,CM37-NA,<10000,26070.2,<10000,<10000,<10000
AF38-NA,BF38-NA,<10000,341550,<10000,<10000,<10000
AF38-NA,BM38-NA,<10000,2.80802e+06,66519,14470.5,<10000
AF39-NA,BF39-NA,<10000,22677.5,<10000,<10000,<10000
AF39-NA,BM39-NA,<10000,15667.6,<10000,<10000,<10000
AF40-NA,BM40-NA,<10000,10102.5,<10000,<10000,<10000
AF41-NA,BF41-NA,<10000,26474.9,<10000,<10000,<10000
AF41-NA,BM41-NA,<10000,245725,<10000,<10000,<10000
AF42-NA,BF42-NA,<10000,48722,<10000,<10000,<10000
AF43-NA,BF43-NA,<10000,68635.1,<10000,<10000,<10000
AF44-NA,BF44-NA,<10000,376247,156470,<10000,<10000
AF44-NA,BM44-NA,<10000,46780.6,<10000,<10000,<10000
AF45-NA,BF45-NA,<10000,1.10357e+07,86965.8,54875.7,<10000
AF45-NA,BM45-NA,<10000,17830,<10000,<10000,<10000
AF46-NA,BF46-NA,<10000,53436.2,<10000,<10000,<10000
AF46-NA,BM46-NA,<10000,965835,103061,10195.3,<10000
AF47-NA,BF47-NA,<10000,26931.8,<10000,<10000,<10000
AF47-NA,BM47-NA,<10000,11628.4,<10000,<10000,<10000
AF49-NA,BF49-NA,<10000,639966,26096.6,<10000,<10000
AF49-NA,BM49-NA,<10000,1.1811e+06,193372,11566.3,<10000
AF50-NA,BM50-NA,<10000,139529,<10000,<10000,<10000
AF51-NA,BF51-NA,<10000,177565,131366,<10000,<10000
AF51-NA,BM51-NA,<10000,41366,10524.6,<10000,<10000
AF52-NA,BF52-NA,<10000,1.22051e+06,41120.2,<10000,<10000
AF52-NA,BM52-NA,<10000,59757.1,<10000,<10000,<10000
AF53-NA,BF53-NA,<10000,2.50877e+07,1.03829e+06,123823,<10000
AF53-NA,BM53-NA,<10000,8.70364e+06,110176,49911.4,<10000
AF54-NA,BM54-NA,<10000,14969.3,<10000,<10000,<10000
AF55-NA,BF55-NA,<10000,29161,<10000,<10000,<10000
AF55-NA,BM55-NA,<10000,96187.9,<10000,<10000,<10000
AF56-NA,AF95-NA,<10000,28534.2,<10000,<10000,<10000
AF56-NA,BF56-NA,<10000,50757.7,<10000,<10000,<10000
AF56-NA,BM56-NA,<10000,216165,<10000,<10000,<10000
