Profile Key 1,Profile Key 2,IDENT,D1,SIB,D2,D(3)
AF0-NA,AF0-NA,3.43548e+15,1.82052e+06,3.83444e+09,8445.76,198.905
AF0-NA,BF0-NA,<100,14046,862.873,269.364,<100
AF0-NA,BM0-NA,<100,5678.56,352.905,183.775,<100
AF0-NA,CF1-NA,<100,179.873,<100,<100,<100
AF1-NA,AF1-NA,3.26619e+17,3.56419e+07,2.40738e+11,91100.6,1107.78
AF1-NA,BF1-NA,<100,33624.1,3278.95,722.961,<100
AF1-NA,BM1-NA,<100,19418.9,3192.48,514.976,<100
AF2-NA,AF2-NA,2.03986e+16,3.27918e+06,1.67525e+10,14836.6,323.966
AF2-NA,BF2-NA,<100,9976.06,686.98,279.968,<100
AF2-NA,BM2-NA,<100,2594.69,<100,148.475,<100
AF3-NA,AF3-NA,5.29015e+16,9.1892e+06,4.02246e+10,26206.1,403.955
AF3-NA,BF3-NA,<100,7973.24,242.425,262.134,<100
AF3-NA,BM3-NA,<100,30787.7,2733.71,647.674,<100
AF4-NA,AF4-NA,1.9762e+16,5.27338e+06,1.57443e+10,20152.5,376.193
AF4-NA,BF4-NA,<100,4828.15,398.766,170.119,<100
AF4-NA,BM4-NA,<100,30894.4,4351.02,646.172,<100
AF5-NA,AF5-NA,7.82705e+18,8.34595e+07,2.41941e+12,166133,1626.68
AF5-NA,BF5-NA,<100,169236,941.893,1987.02,<100
AF5-NA,BM5-NA,<100,178206,23304.7,2104.26,<100
AF6-NA,AF6-NA,2.32314e+18,4.30875e+07,1.07462e+12,109981,1326.43
AF6-NA,BF6-NA,<100,2206.52,<100,120.412,<100
AF6-NA,BM6-NA,<100,15908.6,<100,399.996,<100
AF6-NA,BM11-NA,<100,<100,<100,141.351,<100
AF6-NA,CM6-NA,<100,<100,<100,111.133,<100
AF7-NA,AF7-NA,8.95826e+15,4.38426e+06,9.90546e+09,17754.8,347.271
AF7-NA,BF7-NA,<100,3710.97,<100,155.257,<100
AF7-NA,BM7-NA,<100,14445.1,239.945,347.675,<100
AF8-NA,AF8-NA,3.11953e+17,4.4535e+07,1.74666e+11,90190,975.972
AF8-NA,BF8-NA,<100,20868.9,545.529,502.883,<100
AF8-NA,BM8-NA,<100,1643.41,133.146,102.644,<100
AF9-NA,AF9-NA,2.93613e+16,9.5618e+06,2.49058e+10,28392.1,439.269
AF9-NA,BF9-NA,<100,2681.38,<100,141.502,<100
AF9-NA,BM9-NA,<100,10615.4,3630.77,351.43,<100
AF9-NA,CM9-NA,<100,<100,1100.39,173.993,<100
AF10-NA,AF10-NA,3.68134e+17,3.94224e+07,2.20205e+11,92502.1,1080.18
AF10-NA,BF10-NA,<100,31986.5,3915.12,665.738,<100
AF10-NA,BM10-NA,<100,4594.53,189.157,165.634,<100
AF10-NA,CM9-NA,<100,<100,395.096,243.358,<100
AF11-NA,AF11-NA,7.64973e+17,6.34404e+07,3.98209e+11,145420,1539.5
AF11-NA,BF11-NA,<100,39446.6,395.072,654.55,<100
AF11-NA,BM11-NA,<100,457503,6973.7,3990.13,141.201
AF11-NA,CM10-NA,<100,<100,<100,111.825,<100
AF11-NA,CM11-NA,<100,<100,560.529,203.756,<100
AF12-NA,AF12-NA,4.07555e+15,1.33986e+06,3.93075e+09,6777.61,171.414
AF12-NA,AM4-NA,<100,<100,179.451,<100,<100
AF12-NA,BF12-NA,<100,1375.72,329.413,<100,<100
AF12-NA,BM12-NA,<100,33138.6,7031.08,594.544,<100
AF12-NA,CF12-NA,<100,498.98,<100,<100,<100
AF13-NA,AF13-NA,2.68411e+19,3.2126e+08,9.19813e+12,554744,4369.96
AF13-NA,BF13-NA,<100,132570,37091.5,2293.76,117.136
AF13-NA,BM13-NA,<100,2.19751e+06,19288.9,15026.9,381.214
AF14-NA,AF14-NA,7.33261e+17,4.84301e+07,3.88564e+11,113714,1291.7
AF14-NA,BF14-NA,<100,15168.4,258.567,422.479,<100
AF14-NA,BM14-NA,<100,96726,20116.3,1043.62,<100
AF15-NA,AF15-NA,1.31079e+18,7.23448e+07,6.17682e+11,159572,1655.4
AF15-NA,BF15-NA,<100,177397,6002.78,2098.56,<100
AF15-NA,BM15-NA,<100,316087,47417.2,3792.39,148.029
AF15-NA,CM15-NA,<100,<100,111.323,<100,<100
AM0-NA,AM0-NA,3.78741e+17,5.07135e+07,2.48051e+11,121899,1423.72
AM0-NA,BF0-NA,<100,2205.59,<100,105.523,<100
AM0-NA,BM0-NA,<100,56270,4601.58,967.126,<100
AM1-NA,AM1-NA,1.14422e+19,4.01434e+08,4.54987e+12,629814,4599.7
AM1-NA,BF1-NA,<100,12022.3,129.947,547.922,<100
AM1-NA,BM1-NA,<100,629652,98173.2,7666.56,277.763
AM1-NA,CF2-NA,<100,<100,<100,102.637,<100
AM2-NA,AM2-NA,1.27599e+19,8.20169e+07,3.58663e+12,159240,1549.11
AM2-NA,BF2-NA,<100,7030.72,163.807,231.001,<100
AM2-NA,BM2-NA,<100,76872,831.481,945.365,<100
AM3-NA,AM3-NA,5.16165e+18,1.78347e+08,2.18137e+12,336764,2893.72
AM3-NA,BF3-NA,<100,14433.9,<100,466.632,<100
AM3-NA,BM3-NA,<100,23115.6,902.781,642.504,<100
AM3-NA,CM2-NA,<100,<100,2273.82,271.207,<100
AM3-NA,CM3-NA,<100,<100,<100,109.761,<100
AM3-NA,CF4-NA,<100,<100,<100,118.402,<100
AM4-NA,AF12-NA,<100,<100,179.451,<100,<100
AM4-NA,AM4-NA,2.28963e+16,4.1629e+06,1.89336e+10,16366.7,318.797
AM4-NA,BF4-NA,<100,11067.3,706.81,281.812,<100
AM4-NA,BM4-NA,<100,39544.9,11315.6,648.069,<100
AM4-NA,CM3-NA,<100,<100,495.084,112.545,<100
AM4-NA,CF4-NA,<100,25703.3,24991.6,526.918,<100
AM5-NA,AM5-NA,2.84053e+16,5.58048e+06,2.45404e+10,20041.1,360.461
AM5-NA,BF5-NA,<100,23502.8,1055.47,561.546,<100
AM5-NA,BM5-NA,<100,1917.29,112.806,108.712,<100
