Profile Key 1,Profile Key 2,IDENT,D1,SIB,D2,D(3)
C0-NA,R0-NA,1.57642e+17,1.08606e+08,3.61028e+11,249190,<10000
C0-NA,R999-NA,1.57642e+17,1.08606e+08,3.61028e+11,249190,<10000
C46-NA,R715-NA,<10000,<10000,18806.8,<10000,<10000
C140-NA,R70-NA,<10000,12447.3,<10000,<10000,<10000
C145-NA,R386-NA,<10000,11562.5,21857.4,<10000,<10000
C212-NA,R436-NA,<10000,14719.5,<10000,<10000,<10000
C244-NA,R522-NA,<10000,10506.9,<10000,<10000,<10000
C264-NA,R187-NA,<10000,11063.2,<10000,<10000,<10000
C320-NA,R466-NA,<10000,<10000,100778,<10000,<10000
C333-NA,R0-NA,1.57642e+17,1.08606e+08,3.61028e+11,249190,<10000
C333-NA,R999-NA,1.57642e+17,1.08606e+08,3.61028e+11,249190,<10000
C363-NA,R774-NA,<10000,22905.1,<10000,<10000,<10000
C384-NA,R9-NA,<10000,28621.8,<10000,<10000,<10000
C388-NA,R534-NA,<10000,12842.3,<10000,<10000,<10000
C392-NA,R705-NA,<10000,11953.9,<10000,<10000,<10000
C409-NA,R598-NA,<10000,<10000,19178.3,<10000,<10000
C450-NA,R349-NA,<10000,44016.2,<10000,<10000,<10000
C453-NA,R948-NA,<10000,450030,563548,<10000,<10000
C460-NA,R111-NA,<10000,<10000,17705,<10000,<10000
C490-NA,R553-NA,<10000,<10000,11549.3,<10000,<10000
C503-NA,R427-NA,<10000,10373.7,19359.2,<10000,<10000
C572-NA,R718-NA,<10000,15855.6,<10000,<10000,<10000
C638-NA,R982-NA,<10000,<10000,61268.5,<10000,<10000
C641-NA,R529-NA,<10000,379809,27492.2,<10000,<10000
C650-NA,R392-NA,<10000,<10000,14758.8,<10000,<10000
C666-NA,R0-NA,1.57642e+17,1.08606e+08,3.61028e+11,249190,<10000
C666-NA,R999-NA,1.57642e+17,1.08606e+08,3.61028e+11,249190,<10000
C667-NA,R391-NA,<10000,29866.2,16067.6,<10000,<10000
C721-NA,R636-NA,<10000,12317.1,<10000,<10000,<10000
C762-NA,R953-NA,<10000,14845.5,<10000,<10000,<10000
C763-NA,R587-NA,<10000,11754.3,<10000,<10000,<10000
C785-NA,R269-NA,<10000,<10000,44811.7,<10000,<10000
C813-NA,R350-NA,<10000,15579.2,<10000,<10000,<10000
C815-NA,R174-NA,<10000,<10000,10601.4,<10000,<10000
C839-NA,R742-NA,<10000,74834.8,<10000,<10000,<10000
C856-NA,R992-NA,<10000,<10000,13224.8,<10000,<10000
C894-NA,R238-NA,<10000,12959.6,<10000,<10000,<10000
C923-NA,R903-NA,<10000,<10000,13550.8,<10000,<10000
C927-NA,R50-NA,<10000,<10000,17855.4,<10000,<10000
C942-NA,R344-NA,<10000,<10000,11671.5,<10000,<10000
C943-NA,R35-NA,<10000,14215.8,<10000,<10000,<10000
C963-NA,R825-NA,<10000,<10000,18526.8,<10000,<10000
C967-NA,R209-NA,<10000,<10000,34874.2,<10000,<10000
C971-NA,R151-NA,<10000,11757.3,<10000,<10000,<10000
C989-NA,R887-NA,<10000,<10000,22148.2,<10000,<10000
C990-NA,R747-NA,<10000,<10000,12051.7,<10000,<10000
C999-NA,R0-NA,1.57642e+17,1.08606e+08,3.61028e+11,249190,<10000
C999-NA,R999-NA,1.57642e+17,1.08606e+08,3.61028e+11,249190,<10000
